Winter1jan;Winter2jan;Winter3Jan;Winter4Jan;Winter5Dec;Winter6jan;Winter7jan;Winter8Dec;Winter9Dec;Winter10Dec;Summer1Jul;Summer2Jul;Summer3Jul;Summer4Jul;Summer5Ag;Summer6Jul;Summer7Jul;Summer8Jul;Summer9Jul;Summer10Ag
-303,702159573333;-598,466666666667;-212,552197396667;-121,333333333333;-2430,2;-378,8;-653,5434783;-372;-2849,612245;-306,4;-208;-482,533333333333;-357,733333333333;-240,666666666667;-264,066666666667;-2228,33333333333;-356,4;-186,533333333333;-265,533333333333;-198,666666666667
-1968,15707538667;-184,8;-443,5521974;-181,243772813333;-291,666666666667;-367,133333333333;-719,5434783;-279,5681316;-2544,31156466667;-350;-129;-49;-261;-91,6666666666667;-62;-728,333333333333;-271,333333333333;-144,333333333333;-801,666666666667;-146,066666666667
-1093,55707554667;-241,035492906667;-345,418864066667;-245,5521974;-206,333333333333;-278,333333333333;-730,02980958;-293,5521974;-238,333333333333;-227,333333333333;-121;-59,4;-261;-67,6666666666667;-62;-130;-54;-53,1333333333333;-251,933333333333;-41
-1748,95707544;-352,490409066667;-272,5521974;-258,218864066667;-252,666666666667;-238,333333333333;-665,3672206;-334,885530733333;-322,866666666667;-315,466666666667;-137;-76,6666666666667;-236,8;-49;-62;-244;-453,8;-206;-54;-345,533333333333
-1893,00407746667;-457,890409066667;-344,701464933333;-518,218864066667;-356;-250,333333333333;-706,700553933333;-407,218864066667;-452,666666666667;-443,666666666667;-141,8;-233,333333333333;-565,866666666667;-85,6666666666667;-60,2666666666667;-66,6666666666667;-63,8666666666667;-180,666666666667;-54;-372,066666666667
-528;-997,01040896;-396;-467,018864066667;-369;-322,666666666667;-757,700553933333;-245,618864066667;-241,666666666667;-223,333333333333;-664,950724653333;-387,2;-157,413919306667;-193;-193;-105,666666666667;-156;-105,666666666667;-98,7333333333333;-156,333333333333
-536,752997973333;-231,427578773333;-336;-230,264651773333;-362,533333333333;-280,666666666667;-680,033887266667;-100,333333333333;-266,333333333333;-280;-580,210144966667;-1499,33333333333;-194,218864053333;-562,466666666667;-199,333333333333;-199,466666666667;-389,152997973333;-202,933333333333;-347,466666666667;-218,45899392
-384,490409066667;-1814;-374,333333333333;-174,333333333333;-214;-273,333333333333;-755,18664394;-49;-138,466666666667;-199,333333333333;-463,9434783;-1249;-80,55219735;-49;-49;-82,3333333333333;-119,490409044667;-82,3333333333333;-234,666666666667;-99,3570757113333
-261,2237424;-1306;-214;-162,576498986667;-2080,66666666667;-182;-1752,59275358667;-49;-49;-89,3333333333333;-460,876811633333;-49;-80,55219735;-49;-49;-205,666666666667;-101,357075719333;-960,30842443;-54;-52,82374237
-212,8237424;-386,4;-747,333333333333;-274,157075733333;-1127,66666666667;-222;-2344;-109,264651756667;-272,533333333333;-167,666666666667;-563,5434783;-122,333333333333;-109,885530696667;-49;-49;-251,8;-143,8237424;-2774,552197;-54;-179,490409056667
-475,690409066667;-371,666666666667;-2380;-494,8237424;-371,066666666667;-259,866666666667;-1436,13333333333;-276,218864066667;-339,666666666667;-277,333333333333;-758,476811593333;-115;-173,724358786667;-144,333333333333;-100,333333333333;-162;-2807,983742;-2622,552197;-54;-270,275492906667
-455,8237424;-288;-367,4;-675,957075653333;-391;-333,591025453333;-2125,26666666667;-975,913109606667;-504,533333333333;-254,333333333333;-2616,87681133333;-106,466666666667;-90,3333333333333;-134,333333333333;-178,333333333333;-275,666666666667;-3073,65040866667;-3231,28553033333;-192,666666666667;-210,96
-367,576498986667;-174;-966,170146493333;-272,410409066667;-264,333333333333;-977,13277414;-335,333333333333;-1492,37594;-2702,607914;-1756,33333333333;-1840,41014478667;-283,666666666667;-187,066666666667;-162,666666666667;-162,666666666667;-297,2;-2994,8;-540,46465172;-365,333333333333;-188,333333333333
-216,36474848;-174;-348,5521974;-184,247243413333;-224,138278093333;-446,3759397;-1156,06142258667;-759,309273153333;-754,62374232;-2133,24696453333;-486,076811633333;-208,991025453333;-171;-49;-49;-238,333333333333;-2515,43479802667;-41;-97,7333333333333;-63,458993896
-230,03070204;-285,4;-336,026778166667;-238,880585973333;-253,218864066667;-2023,70927323333;-2481,57593996;-784,251580853333;-376,63070204;-1917,23110866667;-1546,03327406;-324,799440726667;-176,2;-153,866666666667;-350,496598666667;-284,680585973333;-158,55219739;-180,333333333333;-54;-204,090409064667
-301,242606366667;-421,493333333333;-374,3759397;-570,583612526667;-388,418864066667;-1373,45854072;-249,3759397;-478,157075733333;-464,509273033333;-1999,23110866667;-1783,82238966667;-459,709273033333;-272;-219,517746453333;-1179,612245;-110,88553069;-133,885530733333;-341,253333333333;-166,933333333333;-366,4237424
-424,709273033333;-382,24;-432,3759397;-583,1759397;-431,885530733333;-367,4237424;-225,042606366667;-1154,89040896;-580,3759397;-1732,03110866667;-1729,67312233333;-959,975939779999;-235,333333333333;-393,867515193333;-1299,85948806667;-98,4188640233334;-639,685530653333;-182,666666666667;-1663,07362626667;-272,54810114
-972,309273093333;-225,471611426667;-388,909273033333;-406,709273033333;-474,7521974;-1433,27458066667;-284,1759397;-440,8237424;-613,7759397;-1273,65287749333;-1792,04125433333;-586,509273033333;-162,650732463333;-254,709273033333;-1795,16932033333;-296,1521974;-1042,41190433333;-320,152997973333;-2014,68553044;-360,3759397
-421,615027653333;-240,3521974;-419,5759397;-280,502313393333;-345,517399133333;-1261;-339,069943806667;-802,40407768;-815,17593976;-474;-1370,90443516;-493,226778166667;-201,152197386667;-282,109273033333;-1311,41309326667;-278,885530733333;-551,133333333333;-246,157075733333;-515,979776113334;-625,352197313333
-353,5521974;-258,218864066667;-146,415027653333;-212,8237424;-335;-609;-207,31043948;-366,266666666667;-443,732166906667;-452;-2714,90927331333;-336,5521974;-80,55219735;-503,599440693333;-1775,605871982;-423,733919306667;-41;-211,8237424;-296,3759397;-205,818863993333
-353,5521974;-427,5521974;-246,5521974;-291,243165653333;-354,8;-298,466666666667;-249,666666666667;-257,09424544;-423,8237424;-306,466666666667;-1934,788185;-411,1521974;-117,218864033333;-267,152197343333;-1946,70927329333;-301,666666666667;-41;-323,490409066667;-191,509273033333;-186,55219738
