Winter1jan,Winter2jan,Winter3Jan,Winter4Jan,Winter5Dec,Winter6jan,Winter7jan,Winter8Dec,Winter9Dec,Winter10Dec,Summer1Jul,Summer2Jul,Summer3Jul,Summer4Jul,Summer5Ag,Summer6Jul,Summer7Jul,Summer8Jul,Summer9Jul,Summer10Ag
-363.2188641,-822.1333333,-224.2855307,-349.9313184,-241,-2975.157075,-2756.889609,-3642.88553,-1308.359418,-533.1570757,-3657.066667,-223.1570757,-431.5521974,-229.8510798,-810.8666667,-366.4716114,-166.4904091,-582.1521974,-311.1601115,-567.218864
-334.5521974,-384.2666667,-156.8267782,-397.0385287,-330.8666667,-2239.357075,-2069.626778,-2128.952197,-1545.719418,-1106.81694,-1707.133333,-295.4904091,-412.6855307,-295.4904091,-1607.370146,-384.0666667,-187.1570757,-381.5521974,-333.3988336,-452.540293
-516.0529013,-243.1034798,-671.1759398,-257.709273,-552,-2459.957075,-1916.109273,-472.6487176,-2891.986085,-1628.918241,-392.9313184,-328.3570757,-337.1542123,-270.1437424,-747.4346921,-246.3333333,-1271.490409,-193.5521974,-224.4446213,-61.07458079
-557.7550608,-335.0855307,-1043.109273,-284.3759397,-446,-445.9647485,-271.3411415,-439.0071136,-2321.786085,-1634.275075,-296.2188641,-365.0942454,-358.0666667,-654.0278239,-386.709273,-255,-1779.490409,-193.5521974,-403.3759397,-52.82374237
-454.1759397,-459.0071136,-474.3759397,-336.0426064,-517.7882495,-522.2058992,-341.4904091,-840.3092731,-1172.239418,-1784.635987,-367.8721974,-381.9570757,-183,-1359.902654,-382.1759397,-318.3333333,-45.72949695,-170.4139193,-191.509273,-52.82374237
-439.3759397,-687.3759397,-547.0426064,-439.3759397,-446.1570757,-908.2959398,-521.4708983,-2738.509273,-1090.252751,-852.8615756,-1164.227027,-215.0904091,-589.6043479,-1337.949309,-274.709273,-505.213466,-81.71739912,-233.2666667,-501.6896085,-128.1570757
-765.8426064,-1024.17594,-393.5797761,-504.5823982,-349.6237424,-3497.584103,-594.6150277,-2222.458541,-1023.349853,-948.1759398,-1644.831109,-375.7321669,-783.0304167,-1388.697775,-1475.548101,-428.9759397,-701.8855307,-372.6666667,-267.8855307,-542.3570757
-425.9797761,-409.709273,-272.5521974,-973.5750911,-376.3570757,-3763.588185,-953.9949875,-587.2057932,-542.6777041,-629.7626064,-1861.638848,-494.3759397,-3620.452751,-929.5674085,-2160.309273,-429.6426064,-382.8855307,-333,-294.3910255,-920.1923271
-586.1782145,-348.909273,-371.7820509,-406.5521974,-447.3182476,-2656.254852,-1556.988185,-414.3759397,-415.0904091,-484.109273,-1688.804119,-793.8699438,-2231.919418,-487.9759397,-888.7759398,-356.9620204,-516.5521974,-305.1382781,-404.0040778,-314
-460.2953538,-299.9051953,-451.2945053,-404.8188641,-386.948361,-1776.388185,-1548.921518,-509.709273,-531.5988336,-434.709273,-592.0834227,-4163.77594,-2189.652751,-563.709273,-524.3759397,-368.9043283,-899.2778578,-450.6188641,-635.5924599,-366.2069597
-519.0426064,-531.709273,-511.948361,-507.2188641,-361.5521974,-1581.239886,-1522.521518,-506.909273,-640.309273,-1007.902313,-1052.309273,-5507.69594,-859.3060847,-484.509273,-786.5324615,-513.1013589,-333.6744748,-396.8855307,-1204.97594,-393.5521974
